audio_file|text
jfk_00000.wav|Remarks to the Fair Employment Practices Committee from the Cabinet Room of the White House, April 11, 1961.
jfk_00001.wav|The President's Committee on Equal Employment Opportunity is meeting for the first time today.
jfk_00002.wav|I am hopeful and confident that from this time forward, the committee will exercise the great powers given to it by the executive order to presently remove from government employment and work performed for the government
jfk_00003.wav|every trace of discrimination because of race, creed, color, or place of national origin.
jfk_00004.wav|The executive order creating this committee and granting to it powerful sanctions is both an announcement of our determination to end job discrimination once and for all, and an effective instrument to realize that objective.
jfk_00005.wav|Vice President Lyndon Johnson, Chairman of the Committee, Secretary of Labor Arthur Goldberg, and Assistant Secretary of Labor
jfk_00007.wav|This responsibility, I know, will be discharged with fairness, with understanding, with an open mind, and a generous spirit of cooperation, and also with firmness.
jfk_00009.wav|or unreasonable mandate for those sincerely and honestly seeking compliance, nor is there any intention to compromise the principle of equality in employment.
jfk_00010.wav|American citizens unjustly denied the opportunity to work for the government or for those doing business with the government will have that opportunity.
jfk_00011.wav|This is not only just in itself, it is one of the purposes for which we stand before the world.
jfk_00014.wav|Let me just say, speaking personally, that I'm grateful to all of you for taking on this responsibility.
jfk_00015.wav|The federal government spends billions of dollars a year, and therefore this is a most powerful instrument for accomplishing the objectives which we all seek.
jfk_00016.wav|All of us agree that federal money should not be spent in any way which encourages discrimination, but rather should be spent in such a way
jfk_00019.wav|I think that we're particularly fortunate to have the Vice President, who in his high position has undertaken to give this
jfk_00024.wav|I don't think there's any more important domestic effort in which we could be engaged.
jfk_00027.wav|And in a conversation with him about it, he indicated the importance of our establishing our image in accordance with our constitutional promise.
jfk_00030.wav|This is not going to be a committee which issues a number of statements and relies upon exhortation.
jfk_00032.wav|And I think when those powers and responsibilities are put together, we'll be moving along a very important and useful national road.
jfk_00034.wav|I want to say that it's a great pleasure and honor to participate in this event sponsored by the National Geographic, which has been a great American institution, which has advanced our information on a whole variety of horizons in the last years.
jfk_00035.wav|And I can think of no more felicitous award than this to the captain.
jfk_00036.wav|We have learned in the last 60 years how to fly better than the birds, or at least higher and longer.
jfk_00037.wav|And the captain has given us a possibility that someday we may swim as well as the fish, or at least deeper.
jfk_00038.wav|And he is therefore one of the great explorers of an entirely new dimension.
jfk_00039.wav|And I can imagine his satisfaction in having opened up the ocean floor to man and to science.
jfk_00041.wav|the National Geographic Society Gold Medal awarded to Captain Jacques-Yves Costeau, undersea pioneer.
jfk_00042.wav|To earthbound man, he gave the key to the silent world.
jfk_00044.wav|I congratulate also your wife, the representatives of France, the ambassador, Mrs. Alphonse, your country, and you and the Geographic.
jfk_00046.wav|Remarks at the annual meeting of the members of the National Academy of Sciences from the National Academy of Sciences building in Washington, D.C., April 25, 1961.
jfk_00047.wav|Dr. Branch, Dr. Wiesner, ladies and gentlemen, I want to express my appreciation for your generous invitation to be here.
jfk_00049.wav|I'm sure that even some of our English friends who may be here today would probably agree that the two most exceptional men
jfk_00051.wav|This academy was founded in the administration of another president, who though not a scientist himself, did understand the intimate ties which must exist
jfk_00053.wav|This academy is, I think, now about a hundred years old.
jfk_00054.wav|I don't suppose there's ever been a time, even during the days of World War II, when the relationship between science and government must be more intimate.
jfk_00055.wav|Nearly every question which we approach, those of us who hold a political office, have scientific overtones.
jfk_00057.wav|Therefore, all of you are able to pursue your own private interest.
jfk_00058.wav|But it is a fact that the members of this academy have also recognized, probably as much, if not more, than any other group in our society, their obligations to society, to the public interest.
jfk_00059.wav|And therefore, though all of you either teach or work in private industry, some of you in government, all of you have been willing to give your time and your talent
jfk_00061.wav|We are on the threshold of a good many new frontiers.
jfk_00063.wav|The work which we hope we can carry through to fruition in the next months and years on desalinization.
jfk_00064.wav|The work under Dr. Bronk which you have recently undertaken on an analysis of our natural resources.
jfk_00065.wav|The work which we must try to undertake on the problems of our urban society.
jfk_00066.wav|All these problems are political problems, are social problems, are scientific problems.
jfk_00067.wav|And therefore, as President of the United States, I would like to emphasize again the message which all of you have heard in other days.
jfk_00070.wav|In most of the areas where we will move forward involve most sophisticated problems, which your experience and training can help us to solve.
jfk_00071.wav|One of the problems, it seems to me, of a free society is the fact that all of the questions which we must decide now are extremely sophisticated questions.
jfk_00073.wav|All of these involve questions confound the experts.
jfk_00076.wav|Speaking personally, as president, I'm called upon to make decisions, for example, in the field of space, which involve many billions of dollars, where men are committed to one program or another.
jfk_00077.wav|This academy serves as a great natural resource, then, for those of us who are called upon to make these decisions, when we can turn to you and ask your view, ask your advice.
jfk_00078.wav|You are motivated by a desire to see the public interest expanded.
jfk_00080.wav|And therefore, I think that in the long history of this academy, stretching back over a hundred years, never during that time has there been a greater need for understanding and support by the government, the scientific community, and by the public at large.
jfk_00081.wav|So I was anxious to come here today to express my appreciation to you, to ask your help in the days and months to come
jfk_00082.wav|because I think together we can build a stronger society here in this country.
jfk_00084.wav|Remarks of the President to the Joint Conference of the Regional Commissioners and District Directors of the Bureau of Internal Revenue, Washington, D.C., May 1st, 1961.
jfk_00085.wav|Commissioner, Mr. Secretary, I want to
jfk_00086.wav|I came over here this morning to express my great interest in the work that you are doing.
jfk_00088.wav|You are the point of contact with them, the people who work for you.
jfk_00089.wav|And therefore, the kind of spirit which you're able to inculcate into your people has a good deal to do with the success or failure of this great national effort.
jfk_00091.wav|Over half of the money that is collected under taxes goes to our national defense.
jfk_00092.wav|A good deal of the rest goes to other programs of great importance to our national security.
jfk_00093.wav|Out of a total national income of $500 billion, nearly $90 billion are collected in taxes by the federal government.
jfk_00095.wav|That is a tremendous burden to place upon any society, and yet the American people have been willing to assume it.
jfk_00097.wav|I want to commend you for the efforts that you are making to improve our service.
jfk_00098.wav|to make it easier for people to understand exactly what their responsibility is.
jfk_00099.wav|I hope that you will impress upon the agents of the Internal Revenue Service how much we are dependent upon them, on their courtesy, on their efficiency, on their integrity, on their fairness.
jfk_00100.wav|I hope that here in Washington we will continue to work so that the burdens of the tax system become as fairly distributed as possible.
jfk_00101.wav|so that they're distributed in a way which stimulates our economy and stimulates our growth to the extent that is possible and not retards it.
jfk_00103.wav|This is a civil service area.
jfk_00110.wav|It is becoming more obvious that the United States is the great source of strength, not only to the people of this area of the world, but also to people stretched all around the globe.
jfk_00114.wav|I express the hope that in the future, we can, all of us, constantly improve our responsibilities to the public interest.
jfk_00116.wav|Remarks of the President on the signing of the Depressed Areas Bill, the President's Office in the White House, May 1, 1961.
jfk_00118.wav|It's passed both the House and Senate on several occasions, and it's a great satisfaction now
jfk_00120.wav|This bill will help make it possible for thousands of Americans who want to work to work.
jfk_00121.wav|It will be of special help to those areas which have been subjected to chronic unemployment for many months and in some cases for many years.
jfk_00122.wav|In this free society, we want to make it possible for everyone to find a job who wants to work to support their families.
jfk_00125.wav|I want to express and commend the members of the House and Senate who have been identified with this issue.
jfk_00126.wav|for a number of years and they surround me here on both sides.
jfk_00127.wav|I want to congratulate them and to say that there's no piece of legislation which has been passed which gives me greater satisfaction this time.
jfk_00132.wav|I want to announce that the Secretary of Commerce, in whose department the responsibility is placed, is going right to work now and organizing this matter.
jfk_00135.wav|I think we're fortunate to have him and we're glad he's with us here today.
jfk_00136.wav|Remarks of the President upon presenting the National Teachers Award to Miss Helen Adams, Rose Garden of the White House, May 2nd, 1961.
jfk_00137.wav|It's a great pleasure for me to present to Miss Helen Adams of Cumberland, Wisconsin,
jfk_00139.wav|And signed by the Commissioner of Education, the Executive Secretary of the Council of Chief State School Officers, and the
jfk_00141.wav|I must say that it's a particular pleasure to award this certificate to Miss Adams and through Miss Adams to hundreds of thousands of other teachers who labor to educate our children.
jfk_00143.wav|I want them, this is one of the few occasions that we have to express our appreciation to one of them.
jfk_00145.wav|Adams, I know she realizes that we express our appreciation to all the others.
jfk_00146.wav|The education of future Americans is the most important responsibility all of us have.
jfk_00147.wav|We entrust our children to teachers, and they fulfill a great responsibility.
jfk_00149.wav|Adams, who has under great difficulties come to hold a high position in her profession,
jfk_00150.wav|She once said that the best for my children isn't good enough.
jfk_00151.wav|And I think that it's a pleasure to give her the best of these awards, which, in this case, are not good enough.
jfk_00152.wav|This pin, which I think stands for student, teachers, and also this certificate.
jfk_00155.wav|You want to say a word about teaching?
jfk_00158.wav|I think anyone who is really interested in children certainly should give their efforts and do what they can in guiding the children and starting them out, especially in the kindergarten.
jfk_00164.wav|Remarks of the President upon receiving the honorary degrees of Doctor of Laws from George Washington University, Washington, DC, May 3, 1961.
jfk_00166.wav|I want to express my appreciation to the president and to the fellows of this university for the honor that they have bestowed upon me.
jfk_00167.wav|It took my wife to beat me to this honor by about eight or nine years.
jfk_00168.wav|It took her two years to get this degree and took me two minutes, but in any case, we are both grateful.
jfk_00170.wav|University bears the distinguished name of the father of our country, George Washington.
jfk_00171.wav|It is a matter of great interest that there has been an intimate relationship between the great political leaders of our country and our colleges and universities.
jfk_00172.wav|This university bears the name of George Washington, which showed his understanding in his day of the necessity of a free society to produce educated men and women.
jfk_00173.wav|John Adams and John Quincy Adams from my own state of Massachusetts had an intimate relationship with Harvard University.
jfk_00174.wav|Both of them, I believe, were members of the Board of Overseers.
jfk_00175.wav|In both of their lives, Harvard and its development played a major part.
jfk_00176.wav|Washington and Lee shows the intimate relationship which General Lee, the fact that he was willing to devote his life
jfk_00177.wav|at the end of the war to educating the men and women of the South indicated his understanding of this basic precept.
jfk_00179.wav|I don't think that there has ever been a time when we have had greater need for those qualities which a university produces.
jfk_00180.wav|I know that many people feel that a democracy is a divided system, that where the communists are certain in purpose and certain in execution, we debate and talk
jfk_00181.wav|and are unable to meet their consistency and their perseverance.
jfk_00183.wav|There are many disadvantages which a free society bears with it in a Cold War struggle.
jfk_00184.wav|But I believe over the long run that people do want to be free, that they desire to develop their own personalities and their own potential, that democracy permits them to do so.
jfk_00185.wav|and that it is the job of schools and colleges such as this to provide the men and women who will, with their sense of discipline and purpose and understanding, contribute to the maintenance of free societies here and around the world.
jfk_00186.wav|A hundred years ago, George William Curtis, of my own state, asked a body of educators during the Kansas-Nebraska controversy, would you have counted him a friend of ancient Greece
jfk_00187.wav|who quietly discussed the theory of patriotism on that hot summer day through whose hopeless and immortal hours Leonidas and the 300 stood at Thermopylae for liberty.
jfk_00188.wav|Was John Milton to conjugate Greek verbs in his library when the liberty of Englishmen was in peril?
jfk_00190.wav|The duty of the educated man or woman, the duty of the scholar, is to give his objective sense
jfk_00191.wav|his sense of liberty to the maintenance of our society at a critical time.
jfk_00192.wav|This is our opportunity as well as our responsibility.
jfk_00193.wav|And I'm particularly glad to be here today when we are witnessing the swearing in of a new president.
jfk_00194.wav|Many years ago, as most of you know, at Harvard University, somebody came around and asked for President Lowell.
jfk_00196.wav|I know that some other day, when they're asking for the President of your University, they'll say that he's over at the White House seeing Mr. Kennedy.
jfk_00197.wav|They understood at Harvard, and you understood here, the relative importance of a University President and a President of the United States.
jfk_00199.wav|Remarks of the President upon signing the Minimum Wage Bill.
jfk_00202.wav|This is the first time since the act came into existence under the administration of President Franklin Roosevelt in 1938.
jfk_00204.wav|I don't believe that there is any American who believes that any man or woman should have to work in interstate commerce in companies of substantial size for less than $1.25 an hour or $50 a week.
jfk_00206.wav|And I therefore want to commend the members of the Congress and the House and the Senate, the Chairman of the subcommittees,
jfk_00207.wav|who were particularly involved, the leadership of the House and Senate for their untiring efforts.
jfk_00208.wav|I also want to commend the leaders of the organized labor, the AFL-CIO, who are here today with Mr. Meany, for their long interest.
jfk_00209.wav|Every member of pretty much of their unions are paid more than a dollar and a quarter, but they have been concerned about unorganized workers who have been at the bottom of the economic ladder.
jfk_00210.wav|who have not benefited from our growing prosperity in this country as a nation over the long number of years, and who need our help.
jfk_00211.wav|This doesn't finish this job, but it is a most important step forward.
jfk_00212.wav|And as a former member of the Senate who is particularly interested in it, I must say that I'm delighted to sign it.
jfk_00215.wav|The South Lawn of the White House, Washington, D.C., May the 10th, 1961.
jfk_00217.wav|and to also tell you what a pleasure it is and honor it is for us that you have chosen to come and study in the United States.
jfk_00218.wav|You represent really the seed for your country.
jfk_00219.wav|In every case, all of you represent a sacrifice, not only on behalf of yourselves, but on behalf of your country and the people within your country who are responsible for sending you here to study.
jfk_00220.wav|When you go back, you will become among the future leaders of your country.
jfk_00221.wav|In the last two months, I have been honored by a visit from two visitors who are leaders of their country, both of whom studied as young men here in the United States.
jfk_00222.wav|And I am confident President Nkrumah and Dr. Banda, both from Africa,
